department,title,ask,answer
心血管科,高血压患者能吃党参吗？,我有高血压这两天女婿来的时候给我拿了些党参泡水喝，您好高血压可以吃党参吗？,高血压病人可以口服党参的。党参有降血脂，降血压的作用，可以彻底消除血液中的垃圾，从而对冠心病以及心血管疾病的患者都有一定的稳定预防工作作用，因此平时口服党参能远离三高的危害。另外党参除了益气养血，降低中枢神经作用，调整消化系统功能，健脾补肺的功能。感谢您的进行咨询，期望我的解释对你有所帮助。
心血管科,高血压该治疗什么？,我是一位中学教师，平时身体健康，最近学校组织健康检查，结果发觉我是高血压，去年还没有这种情况，我很担心，这边我主要想进行咨询一下高血压应当怎样治疗？麻烦医生指导一下，谢谢。,高血压患者首先要注意控制食盐摄入量，每天不超过六克，注意不要吃太油腻的食物，多吃新鲜的绿色蔬菜水果，多吃有机食物，注意增强体育锻炼，增加身体素质，同时压力不要过大，精神不要紧张，效果不佳的话，可以积极配合以降压药物控制血压治疗，情绪平时保持平和，不易激动。
心血管科,老年人高血压一般如何治疗？,我爷爷今年68了，年纪大了，高血压这些也领着来了，这些病让老人很痛苦，每次都要按时喝药，才能控制住，还得时不时去医院检查一下身体，想进行咨询一下医生，老年人高血压如何治疗？,你爷爷患高血压，这是老年人常见的心血管病，血管老化硬化，血压调整能力消退了，目前治疗高血压最重要的方式就是口服降压药，按时口服，不定期复检血压，把血压控制在正常范围是最理想的状态，建议不定期去医院查体，平时不要抽烟喝啤酒，不要吃太咸的食物。
内分泌科,糖尿病还会进行遗传吗？,糖尿病有隔代遗传吗？我妈是糖尿病，很多年了，也没养好，我现在也是，我妹子也是，我儿子现在二十岁，没什么问题，但是以后会不会也得糖尿病啊，真是难过，我现在就已经开始让他控制点吃东西。,2型糖尿病的隔代遗传概率为父母患糖尿病，临产的发生率为40%，比一般人患糖尿病，疾病，如何更重要的选择因素基于生活方式的，后天也隔代遗传隔代遗传易感性更公正，增强患糖尿病的风险，低糖低脂肪，平时清淡饮食，适当锻练，增强监测数据，血糖仪买个备取。
内分泌科,糖尿病一般需要怎么治疗？,我妈定期检查仔细检查的时候，仔细检查出患糖尿病，糖尿病需要有怎么治疗？我大概知晓是需要有控制糖量，但是不清楚其他除了什么需要有注意的，同时治疗的时候有什么吗？,糖尿病患者首先通过饮食控制和锻练运动，肥胖患者把体重降下来等方式调整一下看一看，如果血糖仍然偏高的话，要考虑决定合适的降糖药治疗，通常可以先决定口服降糖药，并且注意监测数据好血糖；还要防止含糖量高的食物，原则上甜食要尽量避免，还要防止暴饮暴食，适当锻练运动，控制体重。
内分泌科,糖尿病患者能够进行缓解吗？,可是年纪大了吧，以前累积下来的大大小小的病都在这一次爆发了。我得了糖尿病。看过医生，也有在喝药，可是都不很起效。想找一种更有效地办法。您好，糖尿病怎么治疗更好？,糖尿病的治疗主要有饮食经营，活动，口服降糖药物治疗和麻醉胰岛素治疗。药物治疗，均需要有互相配合饮食和活动经营。建议您平时饮食要严格注意质和量的掌控，量要少而精，品种多而全，建议你饮食荤素配搭，每餐排便顺序是，蔬菜，豆制品，瘦肉，最后吃主食，主食宜不宜稀，要影响水果的摄取。如果您口服降糖药物效果不明显，建议您换用麻醉胰岛素治疗。
内分泌科,糖尿病会出现什么症状？,我是不是糖尿病，如何严重，糖尿病的典型症状有哪些?血糖高之后感觉什么东西都不能够吃了，有糖分的东西都不敢吃，怕血糖又高，不知晓是不是变严重了，糖尿病的症状有哪些？,你好，根据你描述的情况看来糖尿病是可以致使血糖异常下降的，可以再次出现三多一少的症状，如喝水多，小便多，饭量大，体重减轻，建议你尽快复诊当地医院内分泌科看一看，需要有让大夫仔细检查你的血糖水平，明确有否糖尿病的情况，及时动用降糖药治疗，平时一定少吃甜食，足量锻练。
心血管科,老年患有高血压，危险有多大?,医生，我叔叔今天住院了，我去医院看他，发觉这个医院心脑血管科室真的人多，是不是天冷对这一小部分人群杀伤力大，您好一下，老年患高血压，危险有多大?会不会有生命危险,老年患高血压的危害是比较大的，在临床诊断上可以影响心、脑、肾等脏器，为高血压可以得脑出血，也可以得脑梗塞，这个最重可以引来濒死，偏瘫，高血压还可以引来心肌肥厚，可以致使心功能不全，而且可以引致缺血性心脏病，长期的高血压还可以致使肾动脉硬化，可以引来肾功能不全。
消化科,哪家医院能治胃反流,烧心，打隔，咳嗽低烧，以有4年多, 建议你用奥美拉唑同时，加用吗丁啉或莫沙必利或援生力维，另外还可以加用达喜片
心血管科,高血压能去做大幅度剧烈运动吗？,我有高血压，一直在喝药治疗，需要有注意些什么？高血压能做剧烈运动吗？,您好，您现在是高血压患者，现在一直在口服着降压药物，所以呢，太剧烈的活动是不适合你的，但是也要每天有活动，每天都要有轻度的，不太剧烈的活动。饮食上要注意低盐低脂饮食，因为血脂高的话，可以引发动脉粥样硬化，增大心脏的阻力，有利于控制血压。平时要注意个人生活习惯，饮食要健康。
